-0.00937500037,-0.0825000033,0,0
-0.0125000011,-0.0825000033,20,0
-0.0125000011,-0.0825000033,40,0
-0.00937500037,-0.0825000033,60,0
-0.00937500037,-0.0850000009,80,0
-0.00937500037,-0.0825000033,100,0
-0.00937500037,-0.0825000033,120,0
-0.00937500037,-0.0825000033,140,0
-0.00937500037,-0.0825000033,160,0
-0.00937500037,-0.0825000033,180,0
-0.0109374998,-0.0825000033,200,0
-0.00937500037,-0.0825000033,220,0
-0.0109374998,-0.0825000033,240,0
-0.223437503,-0.0675000027,0,30
-0.242187515,-0.107500002,20,30
-0.223437503,-0.155000001,40,30
-0.189062506,-0.174999997,60,30
-0.129687503,-0.200000003,80,30
-0.0703125,-0.212500006,100,30
0.00625000056,-0.219999999,120,30
0.081249997,-0.219999999,140,30
0.140625,-0.204999998,160,30
0.1875,-0.180000007,180,30
0.217187494,-0.144999996,200,30
0.21875,-0.107500002,220,30
0.193749994,-0.0649999976,240,30
-0.451562524,-0.127499998,0,60
-0.464062512,-0.200000003,20,60
-0.421875,-0.275000006,40,60
-0.354687542,-0.314999998,60,60
-0.246875003,-0.349999994,80,60
-0.120312497,-0.367500007,100,60
0.0203124993,-0.377499998,120,60
0.160937518,-0.372500002,140,60
0.296875,-0.352499992,160,60
0.379687518,-0.327499986,180,60
0.435937494,-0.277500004,200,60
0.459374994,-0.207499996,220,60
0.440625012,-0.129999995,240,60
-0.699999988,-0.289999992,0,90
-0.698437512,-0.389999986,20,90
-0.635937512,-0.465000004,40,90
-0.521875024,-0.514999986,60,90
-0.368750006,-0.542500019,80,90
-0.181250006,-0.555000007,100,90
0.0265625007,-0.564999998,120,90
0.2109375,-0.5625,140,90
0.395312488,-0.557500005,160,90
0.543749988,-0.535000026,180,90
0.643750072,-0.497500002,200,90
0.701562524,-0.419999987,220,90
0.689062476,-0.310000002,240,90
-0.940625012,-0.622500002,0,120
-0.909375012,-0.704999983,20,120
-0.821874976,-0.75999999,40,120
-0.685937524,-0.785000026,60,120
-0.487500012,-0.805000007,80,120
-0.256249994,-0.819999993,100,120
0.0171875004,-0.824999988,120,120
0.279687494,-0.819999993,140,120
0.510937512,-0.817499995,160,120
0.696874976,-0.80250001,180,120
0.8203125,-0.782500029,200,120
0.921875,-0.727500021,220,120
0.940625012,-0.644999981,240,120
